bead_length,length,width,depth,reference_width,reference_depth
0.0,102.00700163841249,100.38100183010101,59.046100825071335,0.0,0.0
0.01600000075995922,137.53700256347656,132.25899636745453,102.65500098466875,70.3229010105133,37.65479847788811
0.03200000151991844,164.8080050945282,160.1720005273819,128.10899317264557,104.08499836921692,63.10930103063584
0.04800000041723251,189.2929971218109,185.53900718688965,145.11899650096893,125.67600607872009,80.1192969083786
0.06400000303983688,207.19300210475924,204.7400027513504,157.042995095253,142.2020047903061,92.04330295324326
0.07999999821186066,219.2469984292984,218.93000602722168,165.51299393177035,154.0289968252182,100.51299631595612
0.09600000083446503,222.8109985589981,229.61099445819855,172.1149981021881,163.3159965276718,107.1150004863739
0.1120000034570694,227.41900384426117,236.75699532032013,177.05200612545013,170.56100070476532,112.05200105905533
0.12800000607967377,232.02000558376312,243.149995803833,181.33699893951416,176.71999335289004,116.33700132369997
0.14399999380111694,236.58399283885956,248.73900413513184,185.22700667381287,182.2260022163391,120.22700160741807
0.1599999964237213,241.23799800872803,252.18799710273743,188.36399912834167,187.26499378681183,123.36400151252745
0.17599999904632568,245.50899863243106,253.93998622894287,190.98000228405,191.59500300884247,125.98000466823578
0.19200000166893005,249.59099292755127,255.9170126914978,193.22000443935394,195.3269988298416,128.22000682353973
0.20800000429153442,258.38398933410645,259.3970000743866,195.13200223445892,198.6120045185089,130.13200461864471
0.2240000069141388,268.1970000267029,260.8950138092041,196.8729943037033,201.40400528907776,131.8729966878891
0.23999999463558197,272.18499779701233,263.35498690605164,198.3360052108765,203.91200482845306,133.33599269390106
0.25600001215934753,275.5340039730072,265.3479874134064,199.57299530506134,206.01899921894073,134.57299768924716
0.2720000147819519,278.74699234962463,265.5529975891113,200.60700178146362,207.82600343227386,135.6070041656494
0.2879999876022339,281.8230092525482,267.1320140361786,201.4700025320053,209.46599543094635,136.4700049161911
0.30399999022483826,284.635990858078,268.5059905052185,202.19600200653076,211.00899577140808,137.19600439071655
0.3199999928474426,287.22500801086426,270.04799246788025,202.79699563980103,212.49200403690338,137.79699802398682
0.335999995470047,289.63300585746765,271.6749906539917,203.29900085926056,213.81999552249908,138.29900324344635
0.35199999809265137,291.8620109558106,272.5070118904114,203.7000060081482,215.08100628852844,138.6999934911728
0.36800000071525574,293.9069867134094,273.49400520324707,203.98500561714175,216.27800166606903,138.98499310016632
0.3840000033378601,295.8869934082031,273.6780047416687,204.16800677776337,217.45499968528748,139.16799426078796
0.40000000596046453,297.96698689460754,274.9069929122925,204.26400005817416,218.54600310325623,139.26400244235992
0.41600000858306885,302.4330139160156,275.9610116481781,204.3129950761795,219.50000524520874,139.3129974603653
0.4320000112056732,309.97100472450256,277.04200148582464,204.95599508285522,220.33199667930603,139.95599746704102
0.4480000138282776,313.3859932422638,277.7610123157501,205.5100053548813,221.02400660514832,140.50999283790588
0.4639999866485596,314.7209882736206,278.2309949398041,205.97900450229645,221.5529978275299,140.97900688648224
0.47999998927116394,315.83499908447266,278.4239947795868,206.3630074262619,221.94400429725647,141.3629949092865
0.4959999918937683,316.79099798202515,278.6850035190582,206.6749930381775,222.2680002450943,141.6749954223633
0.5120000243186951,317.6119923591614,278.874009847641,206.92500472068787,222.58099913597107,141.92500710487366
0.527999997138977,318.30400228500366,278.8569927215576,207.11100101470947,222.84699976444244,142.11100339889526
0.5440000295639038,318.87999176979065,278.81699800491333,207.25099742412567,223.132997751236,142.25099980831146
0.5600000023841858,319.36100125312805,278.95599603652954,207.34499394893646,223.43100607395172,142.34499633312225
0.5759999752044678,319.7630047798157,279.45399284362793,207.36899971961975,223.7830013036728,142.36900210380554
0.5920000076293946,320.0939893722534,279.29800748825073,207.33100175857544,224.11000728607178,142.33100414276123
0.6079999804496765,320.36399841308594,279.6890139579773,207.23900198936462,224.46100413799286,142.23900437355042
0.6240000128746033,320.56400179862976,280.1789939403534,207.09599554538727,224.8460054397583,142.09599792957306
0.6399999856948853,321.0960030555725,280.8690071105957,206.92099630832672,225.23200511932373,141.92099869251254
0.656000018119812,325.3499865531922,281.29100799560547,206.7119926214218,225.59300065040588,141.7119950056076
0.671999990940094,331.17899298667913,281.62500262260437,206.89000189304352,225.8560061454773,141.8900042772293
0.6880000233650208,332.0690095424652,281.4030051231384,207.25199580192566,225.98600387573242,142.25199818611145
0.7039999961853027,332.053005695343,281.40100836753845,207.55699276924133,225.9790003299713,142.55699515342712
0.7200000286102295,331.9630026817322,281.33699297904974,207.7919989824295,225.9050011634827,142.7920013666153
0.7360000014305115,331.7889869213104,281.0499966144562,207.97599852085114,225.78799724578857,142.97600090503693
0.7519999742507935,331.54499530792236,280.92798590660095,208.1030011177063,225.66799819469452,143.1030035018921
0.7680000066757202,331.2309980392456,280.93200922012335,208.187997341156,225.5849987268448,143.18799972534183
0.7839999794960022,330.8509886264801,280.8130085468292,208.24100077152252,225.59900581836703,143.2410031557083
0.8000000119209291,330.4480016231537,280.61699867248535,208.23800563812256,225.70399940013885,143.23799312114716
0.8159999847412109,330.00698685646057,280.6200087070465,208.18200707435608,225.83000361919403,143.18199455738068
0.8320000171661377,329.5539915561676,280.85198998451233,208.0720067024231,226.02300345897675,143.0719941854477
0.8479999899864197,329.0869891643525,281.16199374198914,207.91399478912354,226.2669950723648,142.91399717330933
0.8640000224113464,328.6049962043762,281.79898858070374,207.71899819374084,226.54099762439728,142.71900057792664
0.8799999952316284,328.3799886703491,282.3669910430908,207.4970006942749,226.81699693202972,142.4970030784607
0.8960000276565552,332.1590125560761,282.60201215744024,207.2400003671646,227.02999413013458,142.2400027513504
