fold,val_loss,val_accuracy,best_epoch
1,0.5685831904411316,0.8707482814788818,24
2,0.5901165008544922,0.835616409778595,35
3,0.6242992877960205,0.8219178318977356,33
4,0.5035946369171143,0.8835616707801819,39
5,0.559719443321228,0.8561643958091736,37
