scan_speed_m_s,length_mm,length_ahead_mm,length_behind_mm,width_mm,depth_mm
0.0,0.20050125313283204,0.09899749373433572,0.1015037593984963,0.20551378446115287,0.10025062656641605
0.1,0.1854636591478696,0.0839598997493733,0.1015037593984963,0.1854636591478696,0.09022556390977443
0.2,0.17543859649122814,0.07393483709273183,0.1015037593984963,0.17543859649122803,0.08521303258145363
0.3,0.16541353383458646,0.06390977443609014,0.1015037593984963,0.16541353383458646,0.08020050125313283
0.4,0.1604010025062657,0.058897243107769406,0.1015037593984963,0.15538847117794496,0.07518796992481203
0.5,0.15538847117794477,0.05388471177944845,0.1015037593984963,0.1453634085213032,0.07017543859649122
0.6,0.15538847117794477,0.05388471177944845,0.1015037593984963,0.1353383458646617,0.06516290726817042
0.7,0.15037593984962402,0.04887218045112772,0.1015037593984963,0.1353383458646617,0.06516290726817042
0.8,0.14536340852130328,0.04385964912280698,0.1015037593984963,0.12531328320802013,0.06015037593984962
0.9,0.14536340852130328,0.04385964912280698,0.1015037593984963,0.12531328320802013,0.06015037593984962
1.0,0.14035087719298256,0.03884711779448624,0.1015037593984963,0.12531328320802013,0.05513784461152882
1.1,0.14035087719298256,0.03884711779448624,0.1015037593984963,0.11528822055137833,0.05513784461152882
1.2,0.14035087719298256,0.03884711779448624,0.1015037593984963,0.11528822055137833,0.050125313283208024
1.3,0.1353383458646616,0.033834586466165294,0.1015037593984963,0.11528822055137833,0.050125313283208024
1.4,0.1353383458646616,0.033834586466165294,0.1015037593984963,0.10526315789473686,0.050125313283208024
1.5,0.1353383458646616,0.033834586466165294,0.1015037593984963,0.10526315789473686,0.045112781954887216
1.6,0.1353383458646616,0.033834586466165294,0.1015037593984963,0.10526315789473686,0.045112781954887216
1.7,0.13032581453634087,0.028822055137844554,0.1015037593984963,0.10526315789473686,0.045112781954887216
1.8,0.13032581453634087,0.028822055137844554,0.1015037593984963,0.09523809523809529,0.045112781954887216
1.9,0.13032581453634087,0.028822055137844554,0.1015037593984963,0.09523809523809529,0.040100250626566414
2.0,0.13032581453634087,0.028822055137844554,0.1015037593984963,0.09523809523809529,0.040100250626566414
