Wavelengths,Transmission
300,96.04
300.450075,95.85483846
300.90015,95.66985558
301.350225,95.48505137
301.8003001,95.30042582
302.2503751,95.11597893
302.7004501,94.93171071
303.1505251,94.74762116
303.6006001,94.56371026
304.0506751,94.37997804
304.5007501,94.19642448
304.9508251,94.01304958
305.4009002,93.82985335
305.8509752,93.64683578
306.3010502,93.46399687
306.7511252,93.28133663
307.2012002,93.09885506
307.6512752,92.91655215
308.1013502,92.7344279
308.5514252,92.55248232
309.0015003,92.37071541
309.4515753,92.18912716
309.9016503,92.00771757
310.3517253,91.82648665
310.8018003,91.64543439
311.2518753,91.46456079
311.7019503,91.28386586
312.1520253,91.1033496
312.6021004,90.923012
313.0521754,90.74285306
313.5022504,90.56287279
313.9523254,90.38307119
314.4024004,90.20344824
314.8524754,90.02400397
315.3025504,89.84473835
315.7526254,89.66565141
316.2027005,89.48674312
316.6527755,89.3080135
317.1028505,89.12946255
317.5529255,88.95109026
318.0030005,88.77289663
318.4530755,88.59488167
318.9031505,88.41704538
319.3532255,88.23938775
319.8033006,88.06190878
320.2533756,87.88460848
320.7034506,87.70748684
321.1535256,87.53054386
321.6036006,87.35377955
322.0536756,87.17719391
322.5037506,87.00078693
322.9538256,86.82455861
323.4039007,86.64850896
323.8539757,86.47263798
324.3040507,86.29694566
324.7541257,86.121432
325.2042007,85.94609701
325.6542757,85.77094068
326.1043507,85.59596301
326.5544257,85.42116402
327.0045008,85.24654368
327.4545758,85.07210201
327.9046508,84.89783901
328.3547258,84.72375467
328.8048008,84.54984899
329.2548758,84.37612198
329.7049508,84.20257363
330.1550258,84.02920395
330.6051009,83.85601293
331.0551759,83.68300058
331.5052509,83.51016689
331.9553259,83.33751186
332.4054009,83.1650355
332.8554759,82.99273781
333.3055509,82.82061878
333.7556259,82.64867841
334.205701,82.47691671
334.655776,82.30533367
335.105851,82.1339293
335.555926,81.96270359
336.006001,81.79165655
336.456076,81.62078817
336.906151,81.45009845
337.356226,81.2795874
337.8063011,81.10925502
338.2563761,80.9391013
338.7064511,80.76912624
339.1565261,80.59932985
339.6066011,80.42971212
340.0566761,80.26027306
340.5067511,80.09101266
340.9568261,79.92193093
341.4069012,79.75302786
341.8569762,79.58430346
342.3070512,79.41575772
342.7571262,79.24739064
343.2072012,79.07920223
343.6572762,78.91119249
344.1073512,78.7433614
344.5574262,78.57570899
345.0075013,78.40823523
345.4575763,78.24094015
345.9076513,78.07382372
346.3577263,77.90688596
346.8078013,77.74012687
347.2578763,77.57354644
347.7079513,77.40714468
348.1580263,77.24092158
348.6081014,77.07487714
349.0581764,76.90901137
349.5082514,76.74332426
349.9583264,76.57781582
350.4084014,76.41248604
350.8584764,76.24733493
351.3085514,76.08236248
351.7586264,75.91756869
352.2087015,75.75295357
352.6587765,75.58851712
353.1088515,75.42425933
353.5589265,75.2601802
354.0090015,75.09627974
354.4590765,74.93255794
354.9091515,74.76901481
355.3592265,74.60565034
355.8093016,74.44246454
356.2593766,74.2794574
356.7094516,74.11662893
357.1595266,73.95397912
357.6096016,73.79150797
358.0596766,73.62921549
358.5097516,73.46710168
358.9598266,73.30516653
359.4099017,73.14341004
359.8599767,72.98183222
360.3100517,72.82043306
360.7601267,72.65921257
361.2102017,72.49817074
361.6602767,72.33730757
362.1103517,72.17662307
362.5604267,72.01611724
363.0105018,71.85579007
363.4605768,71.69564156
363.9106518,71.53567172
364.3607268,71.37588054
364.8108018,71.21626803
365.2608768,71.05683418
365.7109518,70.897579
366.1610268,70.73850248
366.6111019,70.57960463
367.0611769,70.42088544
367.5112519,70.26234491
367.9613269,70.10398305
368.4114019,69.94579986
368.8614769,69.78779533
369.3115519,69.62996946
369.7616269,69.47232226
370.211702,69.31485372
370.661777,69.15756385
371.111852,69.00045264
371.561927,68.84352009
372.012002,68.68676622
372.462077,68.530191
372.912152,68.37379445
373.362227,68.21757656
373.8123021,68.06153734
374.2623771,67.90567679
374.7124521,67.74999489
375.1625271,67.59449167
375.6126021,67.4391671
376.0626771,67.28402121
376.5127521,67.12905397
376.9628271,66.9742654
377.4129022,66.8196555
377.8629772,66.66522426
378.3130522,66.51097168
378.7631272,66.35689777
379.2132022,66.20300252
379.6632772,66.04928594
380.1133522,65.89574802
380.5634272,65.74238877
381.0135023,65.58920818
381.4635773,65.43620626
381.9136523,65.283383
382.3637273,65.1307384
382.8138023,64.97827247
383.2638773,64.82598521
383.7139523,64.67387661
384.1640273,64.52194667
384.6141024,64.3701954
385.0641774,64.21862279
385.5142524,64.06722885
385.9643274,63.91601357
386.4144024,63.76497696
386.8644774,63.61411901
387.3145524,63.46343972
387.7646274,63.3129391
388.2147025,63.16261715
388.6647775,63.01247385
389.1148525,62.86250923
389.5649275,62.71272327
390.0150025,62.56311597
390.4650775,62.41368734
390.9151525,62.26443737
391.3652275,62.11536606
391.8153026,61.96647342
392.2653776,61.81775945
392.7154526,61.66922414
393.1655276,61.52086749
